Title,Potential true pathogen in blood specimen
Acinetobacter baumannii (meropenem-resistant),Yes
Acinetobacter baumannii calcoaceticus complex,Yes
Acinetobacter haemolyticus,Yes
Acinetobacter Iwoffi,Yes
Acinetobacter spp,Yes
Acinetobacter spp (meropenem-resistant),Yes
Aeromonas spp,Yes
Alcaligenes faecalis,Yes
Amoeba,Yes
Ascaris lumbricoides,Yes
Bacillus spp,
Burkholderia cepacia complex (presumptive),Yes
Burkholderia cepacia complex,Yes
Campylobacter spp,Yes
Candida albicans,Yes
Candida spp,Yes
Citrobacter freundii,Yes
Citrobacter koseri (diversus),Yes
Citrobacter spp,Yes
Clostridium perfringens,Yes
Clostridium septicum,Yes
Corynebacterium species,
Cryptococcus gattii,Yes
Cryptococcus neoformans,Yes
Cryptococcus spp,Yes
Cutibacterium spp,
Elizabethkingia meningoseptica,Yes
Enterobacter aerogenes,Yes
Enterobacter cloacae,Yes
Enterobacter cloacae complex,Yes
Enterobacter spp,Yes
Enterobius vermicularis,Yes
Enterococcus casseliflavus/gallinarum,Yes
Enterococcus faecalis,Yes
Enterococcus faecalis (Vancomycin-resistant - VRE),Yes
Enterococcus faecium,Yes
Enterococcus faecium (Vancomycin-resistant - VRE),Yes
Enterococcus spp,Yes
Escherichia coli,Yes
Escherichia coli (ceftriaxone-resistant - ESBL),Yes
Escherichia coli (meropenem-resistant - CRE),Yes
Fusobacterium spp,Yes
Giardia duodenalis,Yes
Giardia lamblia,Yes
Gram negative organism (other),Yes
Haemophilus influenzae,Yes
Haemophilus influenzae,Yes
Haemophilus parainfluenzae,Yes
Haemophilus parainfluenzae,Yes
Helicobacter pylori,Yes
Hookworm,Yes
Klebsiella aerogenes,Yes
Klebsiella oxytoca,Yes
Klebsiella ozaenae,Yes
Klebsiella pneumoniae,Yes
Klebsiella pneumoniae (ceftriaxone-resistant - ESBL),Yes
Klebsiella pneumoniae (meropenem-resistant - CRE),Yes
Klebsiella spp,Yes
Listeria monocytogenes,Yes
Micrococcus species,
Moraxella spp,Yes
Morganella morganii,Yes
Neisseria gonorrhoeae,Yes
Neisseria meningitidis,Yes
Pantoea agglomerans,Yes
Pantoea spp,Yes
Pasteurella multocida,Yes
Proteus mirabilis,Yes
Proteus penneri,Yes
Proteus vulgaris,Yes
Providencia rettgeri,Yes
Providencia spp,Yes
Providencia stuartii,Yes
Pseudomonas aeruginosa,Yes
Pseudomonas putida,Yes
Pseudomonas spp,Yes
Raoultella spp,Yes
Salmonella paratyphi A,Yes
Salmonella spp,Yes
Salmonella typhi,Yes
Serratia marcescens,Yes
Serratia species,Yes
Shewanella putrefaciens,Yes
Shigella flexneri,Yes
Shigella sonnei,Yes
Shigella spp,Yes
Staphylococcus (coagulase-negative),
Staphylococcus aureus,Yes
Staphylococcus aureus (methicillin-susceptible - MSSA),Yes
Staphylococcus aureus (Methicillin-resistant - MRSA),Yes
Staphylococcus lugdunensis,Yes
Staphylococcus saprophyticus,
Stenotrophomonas maltophilia,Yes
Streptococcus agalactiae (beta-haemolytic Group B),
Streptococcus anginosus group (Milleri),Yes
Streptococcus dysgalactiae (beta-haemolytic Group C/G),Yes
Streptococcus pneumoniae,Yes
Streptococcus pyogenes (beta-haemolytic Group A),Yes
Streptococcus species,
Streptococcus spp (Viridans group),
Streptococcus suis,Yes
Strongyloides stercoralis,Yes
Tirchuris trichiura,Yes
Trichomonas vaginalis,Yes
Vibrio cholerae,Yes
Vibrio spp,Yes
Yeast,Yes
